nama_makanan,kategori,kalori,protein,lemak,karbo,harga
Biskuit Pedas,Lainnya,386,18.0,27.4,46.2,71646
Melon Import,Buah,61,0.3,1.5,14.9,38297
Nasi Beku,Karbohidrat,342,7.7,1.5,75.8,12766
Tempe Super,Protein,152,14.9,6.9,36.2,53135
Mete Putih,Lainnya,446,20.4,21.2,36.4,41153
Ikan Lele Kemasan,Protein,129,22.5,9.9,0.6,43822
Pepaya Lokal,Buah,59,0.3,0.2,25.9,20732
Semangka Tinggi Protein,Lainnya,106,2.2,1.3,17.4,52313
Mangga Import,Lainnya,42,2.2,0.4,24.1,25470
Beras Hijau,Karbohidrat,343,8.9,2.4,76.2,12815
Jus Curah,Lainnya,54,3.3,4.4,14.5,6467
Nasi Manis,Karbohidrat,375,8.1,1.6,80.4,18287
Daging Sapi Import,Protein,175,21.0,13.4,2.7,172225
Jus Merah,Lainnya,140,2.0,0.0,3.8,20767
Biskuit Premium,Lainnya,201,19.9,15.7,32.8,25223
Jeruk Hijau,Lainnya,94,1.5,1.5,13.8,17587
Kubis Import,Lainnya,56,3.4,0.1,5.2,5004
Daging Ayam Premium,Protein,155,18.5,14.6,1.5,63996
Ketan Rendah Lemak,Lainnya,376,7.0,2.5,76.9,19710
Teh Pedas,Lainnya,43,7.6,4.9,19.8,15389
Tempe Hitam,Protein,184,9.6,27.5,48.3,21880
Almond Lokal,Lainnya,440,19.5,41.3,41.5,89408
Daging Kerbau Kemasan,Protein,146,18.6,14.0,1.3,160860
Mangga Premium,Lainnya,94,2.4,0.5,15.2,33668
Kacang Hijau Pedas,Lainnya,571,22.7,43.7,28.1,40036
Pisang Pilihan,Buah,109,2.6,0.3,20.4,18681
Jus Import,Lainnya,95,7.3,1.4,13.8,36528
Ikan Tuna Pilihan,Protein,163,15.4,15.5,0.6,72163
Ketan Segar,Lainnya,348,6.6,2.9,79.5,16595
Ikan Tuna Hitam,Protein,222,25.4,6.0,2.3,57187
Mie Beku,Lainnya,447,17.8,10.9,54.2,87137
Tempe Beku,Protein,280,8.1,18.7,55.8,61589
Sawi Import,Lainnya,34,3.6,0.6,6.0,38877
Susu Segar,Lainnya,93,3.6,6.1,27.1,39737
Jus Curah,Lainnya,141,2.7,2.2,28.5,7162
Ikan Tongkol Putih,Protein,135,23.7,6.3,1.9,67650
Kacang Tanah Kemasan,Lainnya,337,22.1,14.8,35.2,87421
Ikan Bandeng Hijau,Protein,170,26.7,7.9,1.6,65053
Nugget Segar,Lainnya,326,4.0,10.1,44.0,80637
Beras Putih,Karbohidrat,350,6.0,0.7,75.2,21620
Kedelai Lokal,Lainnya,424,24.0,42.2,14.1,29037
Mete Import,Lainnya,380,16.8,41.5,13.7,39163
Daging Sapi Beku,Protein,159,23.9,14.6,4.6,121608
Kopi Curah,Lainnya,62,6.0,1.5,20.2,14361
Kacang Tanah Merah,Lainnya,492,28.8,33.7,44.7,16060
Ikan Kembung Putih,Protein,231,23.1,5.1,2.5,62634
Ketan Import,Lainnya,380,6.3,1.2,75.1,19201
Ikan Kembung Import,Protein,247,23.4,6.1,1.7,96451
Tomat Organik,Lainnya,26,2.7,0.7,10.8,16806
Tempe Curah,Protein,337,16.8,13.0,22.2,13719
Biskuit Organik,Lainnya,321,12.0,4.8,33.4,56028
Ikan Kembung Manis,Protein,162,17.0,16.9,2.4,68998
Roti Kemasan,Lainnya,207,13.7,15.7,15.3,42544
Daging Sapi Tinggi Protein,Protein,146,26.1,21.5,3.5,56960
Kopi Premium,Lainnya,83,1.9,7.5,27.0,35000
Biskuit Pilihan,Lainnya,128,12.6,13.6,11.8,10239
Mete Beku,Lainnya,335,29.7,26.1,48.0,48546
Susu Lokal,Lainnya,71,7.1,3.4,15.4,9404
Nugget Pilihan,Lainnya,161,19.0,26.6,54.4,11909
Ketan Rendah Lemak,Lainnya,370,7.4,2.9,77.8,19460
Beras Merah,Karbohidrat,369,8.8,1.9,79.2,14738
Almond Organik,Lainnya,309,25.3,18.4,21.0,20815
Nasi Tinggi Protein,Karbohidrat,346,7.4,1.8,80.4,15562
Daging Kerbau Segar,Protein,162,20.4,20.7,4.7,168081
Anggur Segar,Lainnya,55,2.2,0.6,23.2,42055
Kopi Hitam,Lainnya,130,3.1,1.8,10.5,26144
Tempe Rendah Lemak,Protein,146,17.2,20.3,49.0,16528
Ikan Bandeng Tinggi Protein,Protein,243,20.5,16.2,0.1,43181
Ikan Kembung Lokal,Protein,206,23.4,2.8,1.2,33474
Nasi Pilihan,Karbohidrat,377,8.3,0.6,80.5,21407
Ketan Manis,Lainnya,365,6.3,0.5,75.6,14752
Sosis Manis,Lainnya,379,4.8,9.1,43.7,33210
Jeruk Super,Lainnya,112,0.2,0.8,14.0,9073
Almond Pedas,Lainnya,376,26.7,13.3,29.6,37958
Beras Kemasan,Karbohidrat,355,8.5,0.8,75.2,19033
Beras Organik,Karbohidrat,360,7.2,0.6,75.6,17167
Ikan Tongkol Hijau,Protein,241,15.7,3.7,0.6,106608
Daging Ayam Lokal,Protein,234,20.9,21.9,3.9,95691
Kedelai Segar,Lainnya,303,32.3,20.8,47.2,61714
Kacang Hijau Manis,Lainnya,563,26.4,40.1,27.4,28096
Ikan Tuna Asin,Protein,223,27.4,3.7,0.3,93337
Kedelai Organik,Lainnya,553,16.6,12.2,26.5,66034
Kedelai Pedas,Lainnya,501,21.7,22.9,35.5,21540
Kopi Hitam,Lainnya,27,5.7,7.4,24.3,10035
Ikan Tuna Lokal,Protein,132,25.4,9.0,0.8,86347
Nasi Segar,Karbohidrat,346,8.8,2.0,78.3,16947
Sosis Pilihan,Lainnya,244,3.3,8.1,10.2,41628
Daging Kambing Beku,Protein,282,26.0,14.0,1.8,163480
Wortel Curah,Sayur,37,1.4,0.8,7.9,37759
Beras Kemasan,Karbohidrat,358,8.4,1.3,79.5,13808
Ketan Putih,Lainnya,354,7.8,2.5,79.5,20443
Susu Rendah Lemak,Lainnya,21,4.2,6.6,23.6,36355
Mangga Curah,Lainnya,109,1.2,1.6,26.4,25816
Kangkung Merah,Sayur,51,4.2,0.7,7.5,14552
Teh Putih,Lainnya,109,5.8,3.4,4.4,19672
Kacang Tanah Manis,Lainnya,471,31.4,16.5,49.3,49838
Almond Lokal,Lainnya,460,34.1,41.7,10.5,85615
Ikan Kembung Manis,Protein,142,17.8,17.5,0.4,97732
Daging Kerbau Curah,Protein,280,18.5,23.2,5.0,159848
Daging Kambing Manis,Protein,299,23.9,5.4,3.5,157123
Ikan Kembung Kemasan,Protein,216,21.9,12.8,1.1,29266
Ikan Tuna Manis,Protein,138,25.9,1.3,0.1,116302
Kacang Hijau Super,Lainnya,391,31.3,17.6,39.0,48681
Melon Rendah Lemak,Buah,84,1.4,0.9,24.0,12108
Mete Tinggi Protein,Lainnya,565,18.9,18.7,12.1,78884
Melon Merah,Buah,104,2.9,0.7,22.3,57591
Apel Tinggi Protein,Buah,42,2.2,0.2,27.4,16369
Beras Lokal,Karbohidrat,367,7.4,0.6,79.4,19161
Kopi Organik,Lainnya,17,5.0,4.3,6.6,39351
Melon Merah,Buah,58,2.6,0.2,26.4,30243
Mete Pedas,Lainnya,578,32.8,14.3,19.1,44043
Daging Ayam Super,Protein,151,21.7,6.8,1.0,144840
Mie Pilihan,Lainnya,118,4.2,24.3,11.8,12528
Mie Tinggi Protein,Lainnya,212,15.2,9.1,53.2,89754
Bayam Hitam,Protein,53,4.9,0.4,5.8,35283
Kacang Hijau Lokal,Lainnya,349,31.4,31.8,38.1,24686
Ikan Kembung Lokal,Protein,214,17.0,7.1,1.3,56255
Jeruk Putih,Lainnya,72,2.2,0.6,13.6,11092
Ikan Kembung Curah,Protein,141,18.3,9.4,1.2,119627
Ketan Pilihan,Lainnya,344,6.0,1.7,76.5,21309
Kopi Pilihan,Lainnya,46,7.5,0.7,28.3,14701
Beras Rendah Lemak,Karbohidrat,373,7.7,2.7,77.6,13152
Kedelai Merah,Lainnya,596,28.4,20.5,31.2,21605
Ikan Tongkol Kemasan,Protein,118,20.1,7.9,0.6,40585
Tahu Segar,Protein,294,14.6,10.1,18.2,63217
Daging Kerbau Hijau,Protein,246,28.9,15.6,1.5,141633
Kopi Curah,Lainnya,68,7.7,0.4,20.2,37559
Kangkung Putih,Sayur,23,4.3,0.5,4.3,10802
Daging Sapi Pedas,Protein,286,24.8,23.7,1.0,111086
Daging Ayam Pilihan,Protein,170,23.2,11.4,4.8,152890
Mentimun Lokal,Lainnya,29,3.0,0.6,8.6,33737
Daging Kerbau Asin,Protein,258,21.4,3.5,2.6,122702
Mie Hijau,Lainnya,288,10.5,5.1,28.7,94304
Jus Premium,Lainnya,132,2.9,2.1,3.6,7719
Sawi Premium,Lainnya,60,4.3,0.9,4.6,13516
Ikan Bandeng Tinggi Protein,Protein,128,21.0,5.7,2.6,103374
Mangga Hitam,Lainnya,69,0.8,0.6,18.9,59161
Ikan Kembung Pedas,Protein,233,19.8,5.8,0.5,32516
Ketan Hijau,Lainnya,357,7.8,2.7,78.0,17120
Kacang Hijau Tinggi Protein,Lainnya,326,28.1,44.1,37.1,48314
Mangga Segar,Lainnya,71,2.2,1.0,8.6,58683
Daging Ayam Lokal,Protein,289,21.9,4.4,1.7,176905
Biskuit Organik,Lainnya,429,2.0,29.6,55.9,44481
Jus Segar,Lainnya,30,2.5,2.3,4.0,11709
Ikan Bandeng Pilihan,Protein,160,24.1,9.8,1.6,73239
Tomat Lokal,Lainnya,22,2.0,0.7,11.5,26298
Pepaya Beku,Buah,113,2.1,1.7,24.6,45495
Kopi Merah,Lainnya,105,1.2,4.4,25.3,35363
Brokoli Organik,Sayur,34,2.9,0.6,5.9,28957
Wortel Beku,Sayur,38,4.5,0.7,11.7,15781
Mete Kemasan,Lainnya,337,28.5,11.5,29.4,46951
Almond Manis,Lainnya,590,22.3,27.1,21.5,62986
Jus Merah,Lainnya,147,7.8,6.7,24.2,38630
Kacang Tanah Hijau,Lainnya,563,25.1,29.7,47.9,17336
Ikan Tongkol Beku,Protein,100,17.7,16.9,0.8,91378
Daging Kambing Pilihan,Protein,180,19.2,7.9,4.4,94226
Daging Ayam Import,Protein,244,25.0,4.5,0.5,160732
Daging Kerbau Pilihan,Protein,148,28.9,9.3,0.6,51989
Kacang Hijau Import,Lainnya,306,16.9,36.1,40.4,67013
Ikan Lele Premium,Protein,167,27.4,6.7,0.9,88514
Jus Manis,Lainnya,88,1.5,0.6,15.1,18204
Mie Rendah Lemak,Lainnya,273,2.7,24.8,50.4,67877
Almond Organik,Lainnya,560,29.8,36.8,32.2,57804
Kubis Asin,Lainnya,46,3.1,0.5,6.6,35731
Susu Beku,Lainnya,133,4.4,5.8,22.7,25309
Kedelai Import,Lainnya,536,24.9,22.1,15.8,48159
Nugget Organik,Lainnya,389,9.8,10.4,52.1,75525
Kacang Hijau Organik,Lainnya,329,21.0,25.1,25.6,87572
Tempe Curah,Protein,340,10.3,21.5,55.5,98257
Jus Merah,Lainnya,27,3.7,0.2,12.8,28507
Ketan Import,Lainnya,362,8.7,0.3,78.1,15642
Sawi Rendah Lemak,Lainnya,31,1.5,0.1,8.2,30499
Kopi Import,Lainnya,31,7.3,2.9,17.9,22862
Biskuit Beku,Lainnya,394,6.3,20.5,20.9,46832
Daging Ayam Merah,Protein,142,21.8,13.8,1.1,162455
Ketan Organik,Lainnya,347,6.6,0.7,80.9,21039
Ikan Tongkol Rendah Lemak,Protein,185,23.0,10.2,2.8,57679
Mete Segar,Lainnya,490,34.7,25.9,25.3,22173
Mentimun Tinggi Protein,Lainnya,32,3.0,0.9,9.9,6324
Kacang Hijau Rendah Lemak,Lainnya,594,23.7,21.8,32.5,87431
Teh Rendah Lemak,Lainnya,95,6.6,7.5,7.4,32194
Ikan Tongkol Lokal,Protein,155,23.5,1.9,2.0,108839
Kacang Hijau Hitam,Lainnya,465,22.4,23.1,39.0,42687
Melon Import,Buah,96,1.2,0.5,27.3,55774
Ketan Manis,Lainnya,366,8.4,3.0,80.5,12857
Mete Pedas,Lainnya,372,31.6,14.8,15.7,45802
Wortel Beku,Sayur,38,2.3,0.8,10.2,32869
Susu Kemasan,Lainnya,25,2.0,2.0,2.5,14673
Mangga Rendah Lemak,Lainnya,44,1.2,0.0,17.5,13143
Kopi Organik,Lainnya,26,3.0,6.5,23.4,21424
Daging Sapi Beku,Protein,141,22.3,13.4,2.8,176104
Almond Asin,Lainnya,325,33.8,30.6,17.8,75224
Ikan Bandeng Rendah Lemak,Protein,126,21.9,10.5,0.4,67612
Pisang Tinggi Protein,Buah,80,2.2,0.8,10.1,32987
Susu Merah,Lainnya,60,5.6,3.9,6.3,17026
Ikan Tuna Hitam,Protein,116,25.9,5.2,2.1,59817
Daging Ayam Super,Protein,256,21.4,8.6,0.7,98490
Ikan Bandeng Curah,Protein,211,27.0,4.7,1.1,75709
Wortel Import,Sayur,58,3.1,0.3,11.5,33417
Daging Kambing Manis,Protein,192,19.1,20.6,0.3,164380
Melon Premium,Buah,78,0.1,0.9,8.8,36539
Daging Kerbau Manis,Protein,177,18.8,12.5,2.3,177963
Ikan Tuna Rendah Lemak,Protein,138,25.2,9.7,1.3,76647
Ikan Kembung Merah,Protein,184,20.5,2.5,0.1,83976
Beras Lokal,Karbohidrat,359,6.2,0.3,75.2,20918
Apel Pilihan,Buah,74,0.2,1.2,9.8,38934
Kedelai Merah,Lainnya,300,20.8,21.3,40.3,74588
Anggur Hitam,Lainnya,78,1.2,1.1,17.0,17230
Mete Hitam,Lainnya,558,25.6,19.6,24.7,46458
Tomat Hitam,Lainnya,19,3.4,0.4,3.9,5560
Nasi Lokal,Karbohidrat,371,6.4,1.4,81.8,15583
Daging Kambing Super,Protein,135,23.0,4.2,3.6,150923
Teh Lokal,Lainnya,90,6.5,4.3,28.1,39976
Anggur Hijau,Lainnya,89,1.0,2.0,11.7,26682
Daging Sapi Curah,Protein,189,27.6,23.0,4.2,140417
Tempe Pilihan,Protein,386,9.5,28.7,20.4,28978
Mete Segar,Lainnya,492,18.4,41.5,36.2,24335
Teh Import,Lainnya,77,7.7,6.1,4.9,33601
Jus Manis,Lainnya,60,4.0,3.1,8.2,34454
Ikan Kembung Super,Protein,206,22.1,14.7,2.1,69188
Susu Manis,Lainnya,82,5.5,5.4,10.1,6501
Mentimun Hijau,Lainnya,28,2.9,0.8,3.8,20681
Jeruk Organik,Lainnya,61,0.1,1.0,17.2,15013
Mie Premium,Lainnya,154,19.8,9.7,54.2,55201
Kacang Tanah Asin,Lainnya,315,19.7,32.5,43.4,56031
Kacang Tanah Hijau,Lainnya,409,33.2,37.3,38.9,69901
Ikan Lele Merah,Protein,237,21.8,12.0,2.7,67816
Roti Hijau,Lainnya,320,8.5,12.1,24.3,51805
Kedelai Putih,Lainnya,544,20.9,18.4,47.6,39404
Daging Sapi Lokal,Protein,216,26.8,17.5,1.1,177578
Susu Premium,Lainnya,126,7.3,2.6,12.4,21247
Daging Kerbau Tinggi Protein,Protein,279,25.1,12.1,1.9,63800
Mie Tinggi Protein,Lainnya,425,6.9,24.1,39.3,70750
Semangka Pilihan,Lainnya,63,2.5,0.0,8.2,17904
Biskuit Hijau,Lainnya,257,10.0,14.0,53.0,20131
Biskuit Tinggi Protein,Lainnya,297,7.6,19.1,48.8,22617
Nasi Lokal,Karbohidrat,352,6.8,1.6,75.7,18695
Wortel Beku,Sayur,24,1.6,0.6,4.8,28165
Ikan Tongkol Import,Protein,235,20.9,1.8,2.3,71606
Daging Kerbau Pilihan,Protein,163,27.1,16.4,0.1,69780
Beras Putih,Karbohidrat,364,6.3,2.7,79.3,21142
Mentimun Hitam,Lainnya,37,2.8,0.1,3.8,5221
Anggur Curah,Lainnya,74,1.6,0.3,26.7,17392
Brokoli Manis,Sayur,22,1.2,0.1,9.7,31108
Pepaya Asin,Buah,55,0.2,0.1,26.3,39123
Melon Segar,Buah,110,2.5,0.8,10.2,21133
Nugget Beku,Lainnya,355,8.7,8.9,54.4,77067
Daging Sapi Rendah Lemak,Protein,284,28.1,23.7,0.0,111422
Kedelai Hitam,Lainnya,406,29.9,16.9,47.0,37341
Mangga Pilihan,Lainnya,30,0.3,1.0,24.4,23254
Susu Rendah Lemak,Lainnya,72,2.2,3.4,6.1,35801
Daging Ayam Pilihan,Protein,149,27.4,8.4,0.4,166002
Tahu Hitam,Protein,297,3.8,9.8,26.4,78228
Mete Import,Lainnya,560,32.6,41.0,28.4,39997
Daging Ayam Pedas,Protein,123,26.0,9.9,4.5,137365
Daging Ayam Hijau,Protein,187,22.2,5.1,2.9,115340
Daging Kambing Lokal,Protein,297,21.6,13.7,0.3,119330
Daging Kerbau Putih,Protein,213,21.7,7.0,3.7,136177
Apel Tinggi Protein,Buah,83,0.5,1.9,25.4,57866
Mie Rendah Lemak,Lainnya,163,2.0,21.6,21.2,93101
Kacang Hijau Tinggi Protein,Lainnya,388,33.2,20.9,26.6,58417
Ikan Kembung Pedas,Protein,249,27.9,17.2,1.9,31557
Daging Sapi Segar,Protein,131,18.7,5.0,3.9,150952
Teh Hitam,Lainnya,71,5.1,6.5,16.9,18350
Roti Pilihan,Lainnya,311,10.6,27.6,51.2,40221
Tahu Hijau,Protein,132,3.6,10.2,18.0,94000
Ketan Import,Lainnya,354,7.2,1.4,80.5,14731
Pepaya Premium,Buah,51,1.3,0.9,28.3,38239
Biskuit Manis,Lainnya,260,14.6,18.7,35.4,70487
Susu Pilihan,Lainnya,43,3.9,5.1,13.2,17782
Mentimun Organik,Lainnya,41,4.9,0.1,10.9,37866
Roti Organik,Lainnya,277,19.9,11.4,52.5,58193
Nugget Premium,Lainnya,427,12.7,3.3,53.9,53051
Kedelai Rendah Lemak,Lainnya,332,15.2,19.6,40.6,65655
Daging Ayam Hitam,Protein,284,21.3,10.9,2.9,154370
Brokoli Beku,Sayur,48,1.6,0.4,4.9,16141
Biskuit Merah,Lainnya,235,19.3,17.8,55.5,78197
Sawi Kemasan,Lainnya,15,4.7,0.2,4.9,27994
Pisang Segar,Buah,109,2.1,0.5,15.5,45889
Kacang Hijau Asin,Lainnya,438,27.6,26.3,27.1,81180
Jus Premium,Lainnya,89,5.0,1.4,27.0,19577
Ikan Lele Import,Protein,108,15.4,1.1,2.9,108011
Ikan Tongkol Putih,Protein,114,20.5,17.0,1.9,44289
Nasi Import,Karbohidrat,352,8.7,3.0,78.4,18799
Jus Putih,Lainnya,25,1.8,7.0,6.0,19441
Tempe Hijau,Protein,244,18.6,24.9,55.1,86324
Jeruk Pilihan,Lainnya,46,0.9,1.4,23.3,26796
Wortel Pilihan,Sayur,36,1.6,0.5,7.9,17127
Ikan Kembung Pilihan,Protein,157,24.2,10.1,1.5,57406
Daging Ayam Rendah Lemak,Protein,137,30.0,9.6,3.9,73267
Sosis Asin,Lainnya,144,2.6,23.7,21.6,65124
Nasi Kemasan,Karbohidrat,349,6.4,1.0,79.1,16553
Pisang Tinggi Protein,Buah,91,2.1,1.0,10.6,51429
Bayam Segar,Protein,24,2.4,0.4,6.1,32179
Roti Asin,Lainnya,435,19.0,7.9,52.3,46236
Tomat Premium,Lainnya,27,1.9,0.3,3.3,8649
Kacang Hijau Pilihan,Lainnya,589,24.9,18.4,26.2,32306
Ikan Tongkol Segar,Protein,175,15.4,12.8,2.0,86031
Kacang Hijau Manis,Lainnya,425,18.7,30.8,36.9,76562
Ikan Kembung Super,Protein,116,27.3,12.4,2.2,84003
Susu Curah,Lainnya,97,3.0,5.5,26.3,29394
Kubis Hijau,Lainnya,59,1.7,0.8,10.9,15350
Daging Kambing Organik,Protein,250,23.3,10.2,4.4,95181
Susu Putih,Lainnya,79,0.1,7.5,16.1,22038
Ikan Lele Lokal,Protein,117,22.5,1.3,0.3,92703
Kopi Beku,Lainnya,75,6.0,8.0,21.4,38378
Ikan Tongkol Super,Protein,201,15.1,8.3,2.0,70103
Beras Import,Karbohidrat,343,6.3,0.2,78.6,12046
Ikan Tongkol Kemasan,Protein,202,23.6,3.5,0.0,47290
Brokoli Curah,Sayur,45,1.9,0.3,4.4,35244
Daging Ayam Manis,Protein,125,21.6,14.1,0.9,168250
Wortel Asin,Sayur,27,1.1,0.5,4.6,33449
Mete Organik,Lainnya,401,23.6,28.7,29.0,24473
Kedelai Asin,Lainnya,508,29.1,44.3,30.6,15240
Mete Merah,Lainnya,561,28.4,12.6,43.3,42450
Daging Sapi Merah,Protein,213,28.3,23.9,0.3,58777
Teh Organik,Lainnya,47,2.4,5.1,16.9,27361
Wortel Beku,Sayur,60,3.1,0.2,10.4,17443
Ikan Tuna Hijau,Protein,196,26.6,12.3,1.2,104717
Daging Sapi Hitam,Protein,130,28.9,18.2,0.2,89052
Mie Import,Lainnya,253,15.9,11.0,21.6,20232
Susu Pilihan,Lainnya,69,3.4,7.2,28.0,13711
Ikan Tuna Kemasan,Protein,199,23.9,6.9,1.4,57282
Jus Organik,Lainnya,91,1.9,3.2,13.2,6056
Jus Manis,Lainnya,80,6.2,6.6,19.4,18978
Biskuit Hijau,Lainnya,389,6.5,28.8,12.7,65393
Ketan Curah,Lainnya,363,6.9,2.3,77.8,15293
Semangka Segar,Lainnya,104,1.6,1.0,18.6,13333
Nasi Rendah Lemak,Karbohidrat,365,8.3,2.8,77.7,21809
Mangga Asin,Lainnya,73,2.0,1.1,29.5,54370
Daging Kerbau Premium,Protein,255,25.7,23.2,0.6,171706
Beras Pedas,Karbohidrat,376,6.9,0.2,81.8,15903
Nasi Tinggi Protein,Karbohidrat,356,8.7,1.4,77.5,20998
Almond Import,Lainnya,442,31.2,41.6,47.9,20876
Sawi Putih,Lainnya,28,2.9,0.6,4.4,24144
Beras Asin,Karbohidrat,356,7.2,3.0,78.0,14005
Kacang Tanah Premium,Lainnya,459,21.7,25.8,24.5,39388
Mete Manis,Lainnya,391,15.4,39.3,35.6,20175
Ketan Premium,Lainnya,348,8.6,3.0,80.5,19742
Nasi Rendah Lemak,Karbohidrat,351,6.3,2.7,76.8,15049
Apel Curah,Buah,98,2.2,1.0,16.3,14818
Jus Beku,Lainnya,60,6.0,7.1,8.0,32500
Roti Pilihan,Lainnya,224,18.2,21.7,32.9,21197
Bayam Manis,Protein,33,4.9,0.9,5.5,17553
Kedelai Kemasan,Lainnya,420,28.1,25.5,36.4,45252
Daging Sapi Lokal,Protein,266,26.1,16.0,2.4,114382
Pepaya Organik,Buah,79,2.5,0.9,8.7,18657
Nasi Tinggi Protein,Karbohidrat,365,7.7,0.4,76.3,19751
Tomat Beku,Lainnya,22,4.0,0.4,8.4,14014
Ikan Tuna Super,Protein,197,27.0,14.6,1.1,32049
Daging Sapi Putih,Protein,242,23.3,20.7,4.6,166894
Tahu Beku,Protein,302,9.7,28.5,12.4,67897
Ikan Kembung Super,Protein,185,17.4,3.6,2.8,49252
Apel Organik,Buah,60,0.1,1.6,25.0,45840
Ketan Asin,Lainnya,341,6.5,1.0,77.9,12833
Daging Sapi Curah,Protein,156,25.3,3.6,4.0,148330
Daging Ayam Import,Protein,124,18.7,13.8,1.7,162435
Susu Lokal,Lainnya,70,5.4,2.8,7.3,20627
Ketan Rendah Lemak,Lainnya,349,8.6,1.3,80.3,15646
Kubis Tinggi Protein,Lainnya,16,3.6,0.3,5.3,29264
Mangga Merah,Lainnya,45,2.7,1.1,18.2,51882
Beras Asin,Karbohidrat,344,8.3,0.4,76.4,14210
Daging Sapi Rendah Lemak,Protein,258,25.1,11.5,3.6,140529
Sawi Import,Lainnya,58,4.0,0.2,11.0,24995
Kopi Hitam,Lainnya,149,5.9,6.0,16.6,37594
Nugget Manis,Lainnya,274,17.3,10.3,12.4,51216
Kacang Hijau Tinggi Protein,Lainnya,565,17.5,26.9,10.3,23343
Jus Hijau,Lainnya,31,2.1,4.4,8.3,11908
Jus Segar,Lainnya,109,6.9,0.9,18.5,25605
Susu Putih,Lainnya,50,4.0,1.3,13.4,25652
Almond Hijau,Lainnya,508,22.2,10.0,21.0,33077
Almond Organik,Lainnya,510,19.1,10.3,40.6,36761
Semangka Manis,Lainnya,34,0.4,1.8,8.4,12591
Kopi Hitam,Lainnya,18,4.7,4.7,29.1,13206
Jus Pilihan,Lainnya,56,2.7,6.5,9.1,6685
Mete Lokal,Lainnya,555,18.4,42.0,37.3,80527
Semangka Pedas,Lainnya,74,1.7,0.0,10.1,39822
Ketan Asin,Lainnya,359,8.3,0.5,79.6,14015
Tahu Pilihan,Protein,109,8.7,13.2,14.2,81195
Jus Pedas,Lainnya,54,4.5,7.0,29.5,32651
Daging Kerbau Pilihan,Protein,239,29.6,3.3,3.6,120464
Nasi Premium,Karbohidrat,356,6.0,1.4,77.9,17801
Nugget Segar,Lainnya,121,12.7,23.5,15.4,63377
Pisang Hijau,Buah,65,2.8,0.6,11.5,17124
Kacang Tanah Kemasan,Lainnya,509,21.5,44.3,35.9,16798
Pisang Lokal,Buah,38,1.4,1.5,24.4,52246
Jeruk Premium,Lainnya,31,0.3,0.9,18.5,21810
Nasi Tinggi Protein,Karbohidrat,357,7.3,2.9,81.0,17967
Daging Kerbau Rendah Lemak,Protein,201,18.8,24.9,0.8,119447
Anggur Beku,Lainnya,43,0.9,1.1,23.7,30745
Jeruk Pilihan,Lainnya,68,0.7,1.8,25.2,15112
Anggur Asin,Lainnya,30,0.7,0.2,9.7,22392
Wortel Putih,Sayur,57,4.8,0.9,9.2,5971
Semangka Super,Lainnya,120,1.8,0.6,18.3,54298
Kubis Segar,Lainnya,16,3.5,0.3,3.6,6179
Nasi Tinggi Protein,Karbohidrat,340,6.2,0.8,79.4,14175
Mie Import,Lainnya,367,2.7,14.1,30.0,90300
